127.0.0.1, 2012-01-09 14:16:25, GET, /admin/static/images/header_bg.png, HTTP/1.1, 200, 0.000421
127.0.0.1, 2012-01-09 14:16:25, GET, /admin/static/images/start.png, HTTP/1.1, 200, 0.000314
127.0.0.1, 2012-01-09 14:16:25, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 200, 0.000330
127.0.0.1, 2012-01-09 14:16:25, GET, /admin/static/images/menu.png, HTTP/1.1, 200, 0.001180
127.0.0.1, 2012-01-09 14:16:25, GET, /admin/static/images/sidebar_bullet.gif, HTTP/1.1, 200, 0.000490
127.0.0.1, 2012-01-09 14:16:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000343
127.0.0.1, 2012-01-09 14:16:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000344
127.0.0.1, 2012-01-09 14:16:29, POST, /admin/default/index, HTTP/1.1, 303, 0.024250
127.0.0.1, 2012-01-09 14:16:29, GET, /admin/default/site, HTTP/1.1, 200, 0.036368
127.0.0.1, 2012-01-09 14:16:29, GET, /admin/static/images/folder_locked.png, HTTP/1.1, 200, 0.000392
127.0.0.1, 2012-01-09 14:16:29, GET, /admin/static/images/small_button.png, HTTP/1.1, 200, 0.000311
